"14.03.2022","14.03.2022","Реализовать парсинг csv","Прочитать csv-файл из ресурсов проекта и промаппить его строки в заготовленный класс с последующим добавлением всех строк в коллекцию","1","2","Низкий","1","1"
"14.03.2022","14.03.2022","Реализовать запись текстового файла","Реализовать функционал записи текстового файла в заданную папку. Файл должен опираться на данные из загруженного csv. Из него берем каждую строку, обогащаем её заголовками и записываем в текстовый файл, разделяя дополнительным переводом строки","1","3","Низкий","1","1"
"14.03.2022","15.03.2022","Создать проект","Создать с нуля проект со сборщиком maven, вывести текст в консоль и проверить, что он запускается и работает","1","4","Высокий","1","3"
"15.03.2022","15.03.2022","Создать класс User","Создать класс User с полями: Идентификатор; Дата создания; Дата редактирования; ФИО; Емейл/логин; Пароль (хэш); Роль (пользователь / администратор), enum","1","2","Средний","2","1"
"15.03.2022","15.03.2022","Создать интерфейс-репозиторий","Создать интерфейс-репозиторий (Spring Data) для выше созданной сущности","1","2","Средний","2","2"
"15.03.2022","15.03.2022","Создать классы сущностей","Создать классы сущностей Задача, Проект, Комментарий","1","4","Высокий","3","5"
"15.03.2022","15.03.2022","Связать сущности","Связать сущности через аннотации @ManyToOne и @ManyToMany","1","4","Низкий","3","1"
"15.03.2022","15.03.2022","Реализовать миграции","Реализовать миграции через flyway и выставить auto-ddl hibernate значение в validate","1","3","Средний","3","3"
"15.03.2022","15.03.2022","Реализовать метод поиска задач","Реализовать метод поиска задач по тексту комментария","1","2","Высокий","4","5"
"15.03.2022","15.03.2022","Создать csv файлы на все сущности","Создать csv файлы на все сущности, положить их в ресурсы приложения","1","2","Высокий","4","1"
